id , name, adusers, ddownloads, lastupdated, minv, maxv, isMailExt, #Auth, Authors, A1Id,  A2Id,  A3Id, cTB52, cTB60, cTB68b, cTB68,homepage_url,support_url
742296,Quick Locale Switcher 2,339,119,2016-10-18,3.3,52.0,0,1,ChoGGi,61348,,,2016-10-17,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/quick-locale-switcher-2/,{u'en-GB': u'https://choggi.org/misc/QuickLocaleSwitcher2/'}
743926,Zoiper Thunderbird Plugin,116,56,2018-12-02,24.0,60.0,0,1,Zoiper,12064045,,,2016-10-24,2017-12-06,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/zoiper-thunderbird-plugin/,None
745143,CustomizeMyBird,5583,708,2019-08-17,52.0,60.0,0,1,Aris,5641642,,,2018-01-09,2018-03-13,2018-03-13,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/customizemybird/,{u'en-US': u'http://tinyurl.com/zw8oxqf'}
745378,JIRA Integration Plugin (Beta),2,47,2016-10-31,37.0,52.0,0,1,afurt,12622374,,,2016-10-30,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/jira-integration-plugin-beta/,None
745576,Logout,97,16,2019-08-30,68.0,100,1,1,oheil,12624115,,,2017-04-06,2018-04-26,2099-01-01,2019-08-30,https://addons.thunderbird.net/en-US/thunderbird/addon/logout/,None
746354,New Thread To All,55,0,2018-11-06,52.0,60.0,0,1,opto,11074922,,,2018-09-19,2018-09-19,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/new-thread-to-all/,None
747286,ThunderKeepPlus,3406,139,2019-02-23,60.0,64.0,0,1,Garoe,12619543,,,2017-05-09,2018-04-30,2018-11-19,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/thunderkeepplus/,{u'en-GB': u'https://github.com/Garoe/ThunderKeepPlus/issues'}
756749,Edit Message Encoding Fallback,1,29,2016-12-07,45.0,45.0,0,1,ClearCode Inc.,182999,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/edit-message-encoding-fallback/,{u'ja': u'https://github.com/clear-code/tb-edit-message-encoding-fallback'}
764831,ja-764831,4,1,2017-04-09,17.0,52.0,0,1,Mitsugu Oyama,1204889,,,2017-04-08,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/h%C3%BCtte-nippon-for-thunderbird/,{u'ja': u'https://github.com/mitsugu/HutteNipponForThunderbird'}
764921,Delete Read Emails,4,2,2016-12-30,1.5,50.0,0,1,nkmathew,11233828,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/delete-read-emails/,{u'en-US': u'https://github.com/nkmathew/delete-read-emails/issues'}
765360,eBay Template Generator,1,53,2017-01-11,50.0,54.0,1,1,clingykoala,11743304,,,2017-01-10,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/ebaygenerator/,{u'en-GB': u'http://ebaygenerator.com/'}
